Region,Codigo region,Poblacion,fecha,numero
Los Rios,14,405835,2020-05-17,29
Los Lagos,10,891440,2020-05-17,675
Aysen,11,107297,2020-05-17,66
Magallanes,12,178362,2020-05-17,328
Arica y Parinacota,15,252110,2020-05-18,135
Tarapaca,01,382773,2020-05-18,284
Antofagasta,02,691854,2020-05-18,345
Atacama,03,314709,2020-05-18,143
Coquimbo,04,836096,2020-05-18,205
Valparaiso,05,1960170,2020-05-18,545
Metropolitana,13,8125072,2020-05-18,11992
OHiggins,06,991063,2020-05-18,349
Maule,07,1131939,2020-05-18,270
Nuble,16,511551,2020-05-18,834
Biobio,08,1663696,2020-05-18,1009
Araucania,09,1014343,2020-05-18,211
Los Rios,14,405835,2020-05-18,77
Los Lagos,10,891440,2020-05-18,779
Aysen,11,107297,2020-05-18,14
Magallanes,12,178362,2020-05-18,323
Arica y Parinacota,15,252110,2020-05-19,78
Tarapaca,01,382773,2020-05-19,269
Antofagasta,02,691854,2020-05-19,290
Atacama,03,314709,2020-05-19,98
Coquimbo,04,836096,2020-05-19,308
Valparaiso,05,1960170,2020-05-19,529
Metropolitana,13,8125072,2020-05-19,10754
OHiggins,06,991063,2020-05-19,143
Maule,07,1131939,2020-05-19,892
Nuble,16,511551,2020-05-19,0
Biobio,08,1663696,2020-05-19,1119
Araucania,09,1014343,2020-05-19,642
Los Rios,14,405835,2020-05-19,264
Los Lagos,10,891440,2020-05-19,705
Aysen,11,107297,2020-05-19,0
Magallanes,12,178362,2020-05-19,98
Arica y Parinacota,15,252110,2020-05-20,93
Tarapaca,01,382773,2020-05-20,121
Antofagasta,02,691854,2020-05-20,386
Atacama,03,314709,2020-05-20,86
Coquimbo,04,836096,2020-05-20,128
Valparaiso,05,1960170,2020-05-20,616
Metropolitana,13,8125072,2020-05-20,7285
OHiggins,06,991063,2020-05-20,143
Maule,07,1131939,2020-05-20,477
Nuble,16,511551,2020-05-20,657
Biobio,08,1663696,2020-05-20,1043
Araucania,09,1014343,2020-05-20,406
Los Rios,14,405835,2020-05-20,50
Los Lagos,10,891440,2020-05-20,577
Aysen,11,107297,2020-05-20,68
Magallanes,12,178362,2020-05-20,333
Arica y Parinacota,15,252110,2020-05-21,88
Tarapaca,01,382773,2020-05-21,361
Antofagasta,02,691854,2020-05-21,396
